cloud_name;method;error;error_rotation;error_translation;n_iter;converged;time;noise;rotation;translation;T_true;T_pred
buddha_0;ICP;65.1855;0.169962;0.000109899;12;1;14;0;0;0;0.945641,0.000378025,-0.325213,0.00148196,-0.00167182,0.999992,-0.00369864,0.000671851,0.325209,0.00404119,0.945634,-0.00083169,0,0,0,1;0.937063,-0.00195517,0.349154,0.0017376,0.00122398,0.999997,0.00231477,0.000695559,-0.349157,-0.00174172,0.937063,8.90737e-05,0,0,0,1
buddha_0;TR-ICP;0.0147024;0.16317;0.000113947;27;1;47;0;0;0;0.945641,0.000378025,-0.325213,0.00148196,-0.00167182,0.999992,-0.00369864,0.000671851,0.325209,0.00404119,0.945634,-0.00083169,0,0,0,1;0.939432,-0.00663494,0.342671,-0.000714045,0.00602507,0.999978,0.00284425,0.000440214,-0.342682,-0.000607364,0.939451,0.000281891,0,0,0,1
dragon_0;ICP;199.008;0.0592692;0.000340487;24;1;18;0;0;0;0.924323,-0.00961678,0.381491,-0.00170085,0.0143528,0.999851,-0.00957158,0.000828869,-0.381341,0.0143227,0.924323,0.00117694,0,0,0,1;0.915837,-0.00247472,-0.401542,0.000617832,-0.00121165,0.999959,-0.00892632,0.000303452,0.401548,0.00866158,0.915797,0.00204574,0,0,0,1
dragon_0;TR-ICP;0.0144745;0.0618067;0.000344633;22;1;18;0;0;0;0.924323,-0.00961678,0.381491,-0.00170085,0.0143528,0.999851,-0.00957158,0.000828869,-0.381341,0.0143227,0.924323,0.00117694,0,0,0,1;0.91196,-0.0033321,-0.410266,0.00122853,0.00246151,0.999993,-0.00265019,-0.000219164,0.410273,0.00140699,0.911962,0.000718946,0,0,0,1
big_atc;ICP;0.450535;0.00396751;0.000135442;4;1;1;0;5;0;0.996195,1.96925e-07,0.0871558,-1.78351e-07,4.82021e-08,1,-6.9202e-09,-9.08232e-08,-0.0871558,1.18443e-08,0.996195,-2.90497e-08,0,0,0,1;0.996435,0.000346157,-0.0843679,0.000522574,-0.000109384,0.999996,0.00281105,-1.68223e-05,0.0843685,-0.0027918,0.996431,0.00257534,0,0,0,1
big_atc;TR-ICP;0.00539441;0;2.69105e-05;10;1;2;0;5;0;0.996195,1.96925e-07,0.0871558,-1.78351e-07,4.82021e-08,1,-6.9202e-09,-9.08232e-08,-0.0871558,1.18443e-08,0.996195,-2.90497e-08,0,0,0,1;0.996195,3.49764e-16,-0.0871557,0.00160919,6.271e-16,1,-1.02891e-16,0.000359776,0.0871557,1.81739e-16,0.996195,0.00100953,0,0,0,1
big_atc;ICP;1.15951;0.00627506;0.000212851;6;1;1;0;10;0;0.984808,-5.32432e-09,0.173648,-8.42367e-09,-1.11138e-07,1,-1.29214e-08,-5.44461e-07,-0.173648,-1.22382e-08,0.984808,-2.46219e-08,0,0,0,1;0.985685,0.000945292,-0.168594,0.00137536,-0.000343137,0.999993,0.00360072,-1.00021e-05,0.168597,-0.00349132,0.985679,0.00425767,0,0,0,1
big_atc;TR-ICP;0.00621113;0;1.44038e-05;15;1;3;0;10;0;0.984808,-5.32432e-09,0.173648,-8.42367e-09,-1.11138e-07,1,-1.29214e-08,-5.44461e-07,-0.173648,-1.22382e-08,0.984808,-2.46219e-08,0,0,0,1;0.984808,3.77465e-16,-0.173648,0.00512438,-3.16776e-16,1,6.1149e-17,0.00053279,0.173648,3.18429e-17,0.984808,-1.79252e-05,0,0,0,1
big_atc;ICP;0.274915;0.00375618;8.24877e-05;8;1;1;0;15;0;0.965933,-7.16343e-06,0.258795,-1.27527e-05,5.67409e-05,1,-0.000184783,1.76555e-06,-0.258795,0.000193161,0.965934,5.59431e-05,0,0,0,1;0.966508,0.00106194,-0.256633,0.00383622,-0.00030634,0.999996,0.00298425,0.000379981,0.256635,-0.00280568,0.966504,-0.00204097,0,0,0,1
big_atc;TR-ICP;0.00356265;2.10734e-08;1.93934e-05;21;1;3;0;15;0;0.965933,-7.16343e-06,0.258795,-1.27527e-05,5.67409e-05,1,-0.000184783,1.76555e-06,-0.258795,0.000193161,0.965934,5.59431e-05,0,0,0,1;0.965926,6.43935e-16,-0.258819,0.0145622,7.37907e-16,1,1.02999e-17,0.00111966,0.258819,-2.12254e-17,0.965926,0.000190858,0,0,0,1
big_atc;ICP;0.868285;0.00575345;0.00016844;9;1;2;0;20;0;0.93991,-0.000108276,0.341423,-4.66223e-05,0.000829739,0.999998,-0.0019672,6.31235e-05,-0.341423,0.00213225,0.939909,0.00113767,0,0,0,1;0.94136,0.00152395,-0.337401,0.00916569,-0.000562035,0.999995,0.00294861,0.000505984,0.337404,-0.00258607,0.941356,-0.00365971,0,0,0,1
big_atc;TR-ICP;0.00558843;2.10734e-08;2.59455e-05;26;1;5;0;20;0;0.93991,-0.000108276,0.341423,-4.66223e-05,0.000829739,0.999998,-0.0019672,6.31235e-05,-0.341423,0.00213225,0.939909,0.00113767,0,0,0,1;0.939693,8.93057e-16,-0.34202,0.0267557,2.07185e-15,1,-9.02056e-17,0.00121513,0.34202,9.34447e-17,0.939693,0.00341727,0,0,0,1
big_atc;ICP;3.34384;0.00100543;0.000528217;8;1;1;0;0;0.5;1,-9.97835e-07,-1.07252e-07,8.31246e-06,1.16516e-06,1,6.35099e-07,-0.499946,1.13289e-07,-6.13842e-07,1,7.39636e-07,0,0,0,1;0.999999,-0.0010054,3.59943e-06,-0.0197585,0.0010054,0.999999,6.14828e-06,-0.481413,-3.60561e-06,-6.14466e-06,1,0.0002715,0,0,0,1
big_atc;TR-ICP;0.00216013;2.98023e-08;1.73574e-06;17;1;3;0;0;0.5;1,-9.97835e-07,-1.07252e-07,8.31246e-06,1.16516e-06,1,6.35099e-07,-0.499946,1.13289e-07,-6.13842e-07,1,7.39636e-07,0,0,0,1;1,8.35442e-16,-1.36909e-17,-0.00956786,9.05861e-16,1,-6.47201e-17,-0.49928,-1.15435e-16,2.60517e-16,1,0.00122479,0,0,0,1
big_atc;ICP;3.85365;0.00300136;0.000557152;11;1;3;0;0;1;0.999891,0.0147686,-1.17394e-05,-0.0341732,-0.0147681,0.99989,1.32241e-05,-0.96282,1.19337e-05,-1.30234e-05,1,-1.4471e-05,0,0,0,1;0.999995,-0.0030013,1.46435e-05,-0.0521334,0.0030013,0.999995,-1.08763e-05,-0.98262,-1.46108e-05,1.09202e-05,1,0.00151172,0,0,0,1
big_atc;TR-ICP;0.00587929;0;1.45532e-06;23;1;6;0;0;1;0.999891,0.0147686,-1.17394e-05,-0.0341732,-0.0147681,0.99989,1.32241e-05,-0.96282,1.19337e-05,-1.30234e-05,1,-1.4471e-05,0,0,0,1;1,-2.81913e-16,1.83773e-16,-0.0377887,-3.00887e-16,1,-3.65227e-16,-0.995212,1.61346e-16,-2.08113e-16,1,0.0138246,0,0,0,1
big_atc;ICP;1.34466;0.00172914;0.000329443;13;1;1;0;0;3;0.999486,0.0320645,-1.32983e-05,-0.138539,-0.0320646,0.999486,0.000234421,-2.92288,2.08107e-05,-0.000233874,1,0.000731048,0,0,0,1;0.999999,-0.00172902,9.27626e-06,-0.0888513,0.00172902,0.999999,-1.7782e-05,-2.98642,-9.24551e-06,1.7798e-05,1,0.00512975,0,0,0,1
big_atc;TR-ICP;0.00215919;nan;1.7912e-06;25;1;4;0;0;3;0.999486,0.0320645,-1.32983e-05,-0.138539,-0.0320646,0.999486,0.000234421,-2.92288,2.08107e-05,-0.000233874,1,0.000731048,0,0,0,1;1,9.05937e-17,-4.57245e-17,-0.0178068,-1.4545e-16,1,-5.13556e-17,-2.9752,-2.76395e-17,-1.2233e-16,1,0.096926,0,0,0,1
big_atc;ICP;3.49632;0.00192889;0.000536621;12;1;2;0;0;5;0.999533,0.0305597,0.000478711,-0.189305,-0.0305598,0.999533,0.000106419,-4.92081,-0.000475231,-0.000121012,1,0.0013941,0,0,0,1;0.999998,-0.00192648,4.47673e-05,-0.168002,0.00192649,0.999998,-8.52065e-05,-4.97329,-4.46031e-05,8.52926e-05,1,0.0441529,0,0,0,1
big_atc;TR-ICP;0.00750334;2.10734e-08;1.63726e-05;28;1;5;0;0;5;0.999533,0.0305597,0.000478711,-0.189305,-0.0305598,0.999533,0.000106419,-4.92081,-0.000475231,-0.000121012,1,0.0013941,0,0,0,1;1,5.08592e-17,1.74814e-16,0.00442175,3.27394e-16,1,-5.85252e-16,-4.94147,3.88395e-16,-1.01024e-15,1,0.168947,0,0,0,1
big_atc;ICP;209.72;0.00326431;0.00211626;14;1;1;0.1;15;0;0.968012,-0.00349298,0.250879,-0.00414572,0.00434993,0.999987,-0.00286341,-0.00845058,-0.250865,0.00386314,0.968015,0.00573626,0,0,0,1;0.966238,0.00249385,-0.257638,-0.00515214,-0.0021088,0.999996,0.00177082,-0.00958508,0.257641,-0.00116773,0.96624,0.00268437,0,0,0,1
big_atc;TR-ICP;46.1661;0.00588883;0.00213125;28;1;4;0.1;15;0;0.968012,-0.00349298,0.250879,-0.00414572,0.00434993,0.999987,-0.00286341,-0.00845058,-0.250865,0.00386314,0.968015,0.00573626,0,0,0,1;0.965293,0.00427594,-0.261133,0.00334018,-0.00457424,0.999989,-0.000534544,-0.0117306,0.261128,0.00171048,0.965303,0.00228082,0,0,0,1
big_atc;ICP;5329.83;0.0234815;0.0109021;30;1;4;0.5;15;0;0.969772,0.024058,0.242824,-0.069789,-0.0216895,0.999688,-0.0124211,-0.100004,-0.243047,0.00677888,0.969992,0.00651685,0,0,0,1;0.963759,-0.0228729,-0.265793,-0.0758758,0.0251869,0.999669,0.0053002,-0.106049,0.265584,-0.0118026,0.964016,0.014066,0,0,0,1
big_atc;TR-ICP;572.851;0.0340695;0.0111861;47;1;9;0.5;15;0;0.969772,0.024058,0.242824,-0.069789,-0.0216895,0.999688,-0.0124211,-0.100004,-0.243047,0.00677888,0.969992,0.00651685,0,0,0,1;0.960726,-0.0312987,-0.27573,-0.0606399,0.0306011,0.999508,-0.00683287,-0.150936,0.275808,-0.00187312,0.961211,0.031188,0,0,0,1
big_atc;ICP;21636.3;0.0645364;0.0223512;52;1;9;1;15;0;0.975444,0.0504302,0.214401,-0.26893,-0.0417391,0.99812,-0.0448737,-0.184484,-0.216261,0.0348226,0.975715,0.0143274,0,0,0,1;0.966559,-0.0546585,-0.250551,-0.289511,0.0645306,0.997423,0.0313506,-0.19822,0.248191,-0.0464704,0.967596,0.00181231,0,0,0,1
big_atc;TR-ICP;2732.69;0.0666958;0.0226257;36;1;8;1;15;0;0.975444,0.0504302,0.214401,-0.26893,-0.0417391,0.99812,-0.0448737,-0.184484,-0.216261,0.0348226,0.975715,0.0143274,0,0,0,1;0.96312,-0.0689381,-0.260091,-0.310751,0.0731632,0.997298,0.00658666,-0.22703,0.258934,-0.0253728,0.965562,-0.000870702,0,0,0,1
big_atc;ICP;5336.71;0.0243827;0.0109255;31;1;4;0.5;15;1;0.969828,0.0500938,0.238595,-0.153984,-0.0469168,0.99872,-0.0189793,-1.02725,-0.23924,0.00721282,0.970935,0.00103504,0,0,0,1;0.963567,-0.0238809,-0.266398,-0.126792,0.026022,0.999651,0.00450978,-1.10264,0.266198,-0.0112777,0.963853,0.00415582,0,0,0,1
big_atc;TR-ICP;572.822;0.0386136;0.0111314;48;1;7;0.5;15;1;0.969828,0.0500938,0.238595,-0.153984,-0.0469168,0.99872,-0.0189793,-1.02725,-0.23924,0.00721282,0.970935,0.00103504,0,0,0,1;0.960095,-0.0353964,-0.277424,-0.110308,0.0358087,0.999352,-0.00358164,-1.13902,0.277371,-0.0064955,0.960741,0.014995,0,0,0,1
big_atc;ICP;209.898;0.00125577;0.00212269;21;1;3;0.1;15;5;0.975973,0.0383961,0.214482,-0.235891,-0.0336983,0.999106,-0.025518,-4.89152,-0.21527,0.0176776,0.976395,-0.102159,0,0,0,1;0.965639,-0.000683045,-0.259887,-0.205218,0.000822622,1,0.000428307,-4.95461,0.259887,-0.000627379,0.965639,-0.223191,0,0,0,1
big_atc;TR-ICP;46.1643;0.00521841;0.00212947;42;1;7;0.1;15;5;0.975973,0.0383961,0.214482,-0.235891,-0.0336983,0.999106,-0.025518,-4.89152,-0.21527,0.0176776,0.976395,-0.102159,0,0,0,1;0.965137,0.00295708,-0.261729,-0.0696829,-0.00330005,0.999994,-0.000870882,-4.86823,0.261725,0.00170424,0.965141,-0.353411,0,0,0,1
big_atc;ICP;21638.8;0.0676688;0.022351;39;1;7;1;15;5;0.978211,0.0594587,0.198923,-0.537108,-0.0497313,0.997326,-0.0535445,-5.1294,-0.201574,0.0424849,0.978552,-0.201741,0,0,0,1;0.967316,-0.0501556,-0.248564,-0.428887,0.0622789,0.99721,0.0411471,-5.1686,0.245807,-0.0552825,0.967741,-0.139511,0,0,0,1
big_atc;TR-ICP;2732.69;0.066639;0.0226246;56;1;12;1;15;5;0.978211,0.0594587,0.198923,-0.537108,-0.0497313,0.997326,-0.0535445,-5.1294,-0.201574,0.0424849,0.978552,-0.201741,0,0,0,1;0.963124,-0.0688675,-0.260095,-0.31563,0.0731045,0.997302,0.00663959,-5.21305,0.258936,-0.0254088,0.96556,-0.0995529,0,0,0,1
big_atc;ICP;21648.7;0.0661089;0.0223806;46;1;8;1;5;5;0.996059,0.0558444,0.0689315,-0.520188,-0.0528006,0.997582,-0.0452135,-5.13382,-0.0712897,0.0413956,0.996597,-0.186754,0,0,0,1;0.994636,-0.0569932,-0.0863199,-0.421352,0.0608568,0.997228,0.0428067,-5.18395,0.083641,-0.0478302,0.995347,-0.0764017,0,0,0,1
big_atc;TR-ICP;2720.02;0.130057;0.0229538;62;1;13;1;5;5;0.996059,0.0558444,0.0689315,-0.520188,-0.0528006,0.997582,-0.0452135,-5.13382,-0.0712897,0.0413956,0.996597,-0.186754,0,0,0,1;0.988274,-0.114533,-0.100979,-0.319719,0.121358,0.990528,0.0642384,-5.25688,0.0926648,-0.0757397,0.992813,-0.0988992,0,0,0,1
big_atc;ICP;0.895387;0.00152529;0.00027134;15;1;2;0;15;5;0.975759,0.034258,0.216157,-0.209785,-0.0308783,0.999343,-0.0189926,-4.89571,-0.216665,0.0118573,0.976175,-0.0792887,0,0,0,1;0.966028,-0.000396287,-0.258438,-0.188553,1.60587e-05,0.999999,-0.00147336,-4.91522,0.258438,0.00141916,0.966027,-0.342527,0,0,0,1
big_atc;TR-ICP;0.00751392;2.10734e-08;1.90484e-05;30;1;5;0;15;5;0.975759,0.034258,0.216157,-0.209785,-0.0308783,0.999343,-0.0189926,-4.89571,-0.216665,0.0118573,0.976175,-0.0792887,0,0,0,1;0.965926,-2.42292e-16,-0.258819,-0.0422682,-3.66642e-16,1,7.44088e-16,-4.82144,0.258819,1.0152e-15,0.965926,-0.470414,0,0,0,1